Phrase,Key,Value
Grave Yard,amenity,grave_yard
Greenfield Land,landuse,greenfield
Greengrocer,shop,greengrocer
Grocery Shop,shop,grocery
Guest House,tourism,guest_house
Guided Bus Lane,highway,bus_guideway
Hackerspace,leisure,hackerspace
Hairdresser,shop,hairdresser
Hall,amenity,hall
Hamlet,place,hamlet
Hardware Store,shop,hardware
Health Centre,amenity,health_centre
Heath,natural,heath
Hi-Fi,shop,hifi
Highway under Construction,highway,construction
Hill,natural,hill
Historic Railway Station,railway,historic_station
Hospital,amenity,hospital
Hostel,tourism,hostel
Hotel,amenity,hotel
House,building,house
Houses,place,houses
Hunting Stand,amenity,hunting_stand
Ice Cream,amenity,ice_cream
Ice Rink,leisure,ice_rink
Icon,historic,icon
Industrial Building,building,industrial
Information,tourism,information
Insurance,shop,insurance
Island,natural,island
Islet,place,islet
Jewelry Shop,shop,jewelry
Kindergarten,amenity,kindergarten
Kiosk Shop,shop,kiosk
Land,natural,land
Landfill,landuse,landfill
Laundry,shop,laundry
Lean To,tourism,lean_to
Level Crossing,railway,level_crossing
Library,amenity,library
Light Rail,railway,light_rail
Living Street,highway,living_street
Locality,place,locality
Lock,waterway,lock
Lock Gate,waterway,lock_gate
Mall,shop,mall
Manor,historic,manor
Marina,leisure,marina
Market,amenity,market
Marketplace,amenity,marketplace
Marsh,natural,marsh
Meadow,landuse,meadow
Memorial,historic,memorial
Military Area,landuse,military
Mine,historic,mine
Mineral Spring,waterway,mineral_spring
Miniature Golf,leisure,miniature_golf
Minor Road,highway,minor
Mobile Phone Shop,shop,mobile_phone
Monorail,railway,monorail
Monument,historic,monument
Moor,natural,moor
Mooring,waterway,mooring
Motel,tourism,motel
Motorcycle Shop,shop,motorcycle
Motorway,highway,motorway
Motorway Junction,highway,motorway_junction
Motorway Road,highway,motorway_link
Mountain,landuse,mountain
Mountain Rescue,amenity,mountain_rescue
Mud,natural,mud
Municipality,place,municipality
Museum,historic,museum
Music Shop,shop,music
Narrow Gauge Railway,railway,narrow_gauge
Nature Reserve,landuse,nature_reserve
Newsagent,shop,newsagent
Night Club,amenity,nightclub
Nursery,amenity,nursery
Nursing Home,amenity,nursing_home
Off License,shop,wine
Office,amenity,office
Optician,shop,optician
Organic Food Shop,shop,organic
Outdoor Shop,shop,outdoor
Park,amenity,park
Parking,amenity,parking
Path,highway,path
Peak,natural,peak
Pedestrian Way,highway,pedestrian
Pet Shop,shop,pet
Pharmacy,amenity,pharmacy
Photo Shop,shop,photo
Picnic Site,tourism,picnic_site
Piste,landuse,piste
Platform,highway,platform
Playground,leisure,playground
Plaza,landuse,plaza
Point,natural,point
Police,amenity,police
Post Box,amenity,post_box
Post Office,amenity,post_office
Postcode,place,postcode
Pre-School,amenity,preschool
Preserved Railway,railway,preserved
Primary Road,highway,primary_link
Prison,amenity,prison
Public Building,building,public
Public Market,amenity,public_market
Quarry,landuse,quarry
Raceway,highway,raceway
Railway,landuse,railway
Railway Junction,railway,junction
Railway Points,railway,switch
Railway Spur,railway,spur
Railway Station,railway,station
Railway Yard,railway,yard
Rapids,waterway,rapids
Reception Area,amenity,reception_area
Recreation Ground,landuse,recreation_ground
Recycling Point,amenity,recycling
Reef,natural,reef
Region,place,region
Reservoir,landuse,reservoir
Residential Building,building,residential
Rest Area,highway,rest_area
Retail Building,building,retail
Retirement Home,amenity,retirement_home
Ridge,natural,ridge
River,natural,river
Riverbank,waterway,riverbank
Road,highway,road
Rock,natural,rock
Ruin,historic,ruins
Salon,shop,salon
Sauna,amenity,sauna
School,amenity,school
Scree,natural,scree
Scrub,natural,scrub
Sea,place,sea
Secondary Road,highway,secondary_link
Service Area,highway,services
Service Road,highway,service
Shelter,amenity,shelter
Shoal,natural,shoal
Shoe Shop,shop,shoes
Shop,amenity,shop
Shopping,amenity,shopping
Shopping Centre,shop,shopping_centre
Slipway,leisure,slipway
Social Club,amenity,social_club
Sports Centre,leisure,sports_centre
Sports Pitch,leisure,pitch
Sports Shop,shop,sports
Spring,natural,spring
Stadium,building,stadium
State,place,state
Stationery Shop,shop,stationery
Steps,highway,steps
Stile,highway,stile
Store,building,store
Strait,natural,strait
Stream,waterway,stream
Studio,amenity,studio
Subdivision,place,subdivision
Suburb,place,suburb
Subway Entrance,railway,subway_entrance
Subway Station,railway,subway
Supermarket,amenity,supermarket
Swimming Pool,leisure,swimming_pool
Swinger Club,amenity,swingerclub
Taxi,amenity,taxi
Telephone,amenity,telephone
Terrace,building,terrace
Tertiary Road,highway,tertiary
Theatre,amenity,theatre
Theme Park,tourism,theme_park
Toilet,amenity,toilets
Tower,building,tower
Town,place,town
Town Hall,amenity,townhall
Toy Shop,shop,toys
Track,highway,track
Trail,highway,trail
Train Stop,railway,halt
Tram Stop,railway,tram_stop
Tramway,railway,tram
Travel Agency,shop,travel_agency
Tree,natural,tree
Trunk Road,highway,trunk_link
Unclassified Road,highway,unclassified
Unincorporated Area,place,unincorporated_area
University,amenity,university
Unsurfaced Road,highway,unsurfaced
Valley,natural,valley
Vending Machine,amenity,vending_machine
Veterinary Surgery,amenity,veterinary
Video Shop,shop,video
Viewpoint,tourism,viewpoint
Village,place,village
Village Green,landuse,village_green
Village Hall,amenity,village_hall
Vineyard,landuse,vineyard
Volcano,natural,volcano
Wadi,waterway,wadi
Waste Basket,amenity,waste_basket
Water,natural,water
Water Park,leisure,water_park
Water Point,waterway,water_point
Waterfall,waterway,waterfall
Waterway Connector,waterway,connector
Wayside Cross,historic,wayside_cross
Wayside Shrine,historic,wayside_shrine
Weir,waterway,weir
Wetland,landuse,wetland
Wetlands,natural,wetlands
WiFi Access,amenity,wifi
Windmill,man_made,windmill
Wood,landuse,wood
Wreck,historic,wreck
Youth Centre,amenity,youth_centre
Zoo,tourism,zoo
